x,y,theta,t
35.0466,38.6543,1.09742,752
35.1452,38.8468,1.10256,753
35.2427,39.0397,1.10756,754
35.3394,39.2331,1.11239,755
35.435,39.427,1.11705,756
35.5298,39.6213,1.12153,757
35.6237,39.816,1.12581,758
35.7168,40.0112,1.12988,759
35.809,40.2067,1.13374,760
35.9005,40.4026,1.13737,761
35.9913,40.5988,1.14076,762
36.0815,40.7953,1.1439,763
36.171,40.9921,1.14677,764
36.2599,41.1891,1.14937,765
36.3484,41.3864,1.15167,766
36.4364,41.5839,1.15368,767
36.524,41.7816,1.15536,768
36.6112,41.9794,1.15672,769
36.6982,42.1773,1.15774,770
36.785,42.3753,1.1584,771
36.8716,42.5734,1.15868,772
36.9582,42.7715,1.15859,773
37.0448,42.9696,1.15809,774
37.1316,43.1676,1.15717,775
37.2185,43.3656,1.15583,776
37.3056,43.5634,1.15404,777
37.3931,43.7611,1.15179,778
37.4811,43.9586,1.14906,779
37.5696,44.1559,1.14584,780
37.6587,44.3528,1.14211,781
37.7486,44.5495,1.13785,782
37.8393,44.7457,1.13304,783
37.931,44.9415,1.12767,784
38.0237,45.1368,1.12173,785
38.1175,45.3316,1.11518,786
38.2127,45.5258,1.10802,787
38.3092,45.7192,1.10022,788
38.4072,45.9119,1.09177,789
38.5069,46.1038,1.08265,790
38.6083,46.2948,1.07283,791
38.7115,46.4847,1.0623,792
38.8168,46.6736,1.05104,793
38.9242,46.8612,1.03902,794
39.0338,47.0476,1.02622,795
39.1458,47.2325,1.01262,796
39.2604,47.4159,0.99821,797
39.3775,47.5976,0.982953,798
39.4974,47.7776,0.966831,799
39.6202,47.9555,0.949819,800
39.746,48.1314,0.931893,801
39.8749,48.3049,0.91303,802
40.0071,48.4761,0.893204,803
40.1427,48.6445,0.872389,804
40.2817,48.8101,0.850559,805
40.4243,48.9726,0.827687,806
40.5706,49.1318,0.803747,807
40.7206,49.2876,0.778693,808
40.8742,49.4395,0.752528,809
41.0315,49.5873,0.725266,810
41.1921,49.7309,0.696974,811
41.356,49.8702,0.667871,812
41.5228,50.0051,0.638393,813
41.6919,50.1353,0.608345,814
41.863,50.2596,0.577704,815
42.0355,50.3772,0.546528,816
42.2086,50.4877,0.514882,817
42.3818,50.5908,0.482837,818
42.5542,50.6863,0.450473,819
42.7251,50.7741,0.417877,820
42.8935,50.8541,0.385143,821
43.0587,50.9262,0.352371,822
43.2196,50.9905,0.319667,823
43.3754,51.0472,0.287143,824
43.5251,51.0966,0.254914,825
43.6678,51.1389,0.223101,826
43.8025,51.1746,0.191831,827
43.9284,51.2042,0.161229,828
44.0445,51.2283,0.131428,829
44.1502,51.2474,0.102558,830
44.2447,51.2623,0.0747535,831
44.3272,51.2736,0.0481471,832
44.3972,51.2821,0.0228719,833
44.454,51.2886,-0.00094075,834
44.4972,51.2937,-0.0224198,835
44.5263,51.2982,-0.0415006,836
44.5367,51.3027,-0.0588438,837
44.5324,51.3079,-0.0755426,838
44.5129,51.3142,-0.0928589,839
44.4783,51.3221,-0.111958,840
44.4285,51.3324,-0.133584,841
44.3638,51.3457,-0.157677,842
44.2847,51.3627,-0.183416,843
44.1916,51.3843,-0.210697,844
44.0853,51.4113,-0.239411,845
43.9666,51.4443,-0.269445,846
43.8365,51.4842,-0.300681,847
43.696,51.5316,-0.333,848
43.5463,51.587,-0.366284,849
43.3887,51.651,-0.400415,850
43.2244,51.7238,-0.435277,851
43.0548,51.8058,-0.470758,852
42.8813,51.8971,-0.50675,853
42.7052,51.9976,-0.543149,854
42.5279,52.1072,-0.579859,855
42.3506,52.2256,-0.616786,856
42.1747,52.3525,-0.653847,857
42.0011,52.4873,-0.690963,858
41.8311,52.6295,-0.728063,859
41.6655,52.7784,-0.765086,860
41.5052,52.9333,-0.801978,861
41.3508,53.0936,-0.838715,862
41.203,53.2584,-0.875249,863
41.0624,53.4268,-0.911522,864
40.9295,53.5978,-0.947472,865
40.8049,53.7704,-0.983035,866
40.6888,53.9433,-1.01814,867
40.5815,54.1154,-1.05272,868
40.4831,54.2856,-1.08669,869
40.3937,54.4525,-1.11999,870
40.3131,54.6152,-1.15252,871
40.2412,54.7724,-1.18423,872
40.1776,54.9231,-1.21502,873
40.122,55.0663,-1.24484,874
40.0739,55.2011,-1.27361,875
40.0326,55.3268,-1.30127,876
39.9977,55.4426,-1.32775,877
39.9685,55.5482,-1.35303,878
39.9444,55.643,-1.37705,879
39.9246,55.7269,-1.39979,880
39.9085,55.8,-1.42126,881
39.8956,55.8622,-1.44144,882
39.8852,55.9141,-1.46038,883
39.8768,55.956,-1.47809,884
39.8699,55.9888,-1.49439,885
39.8641,56.0134,-1.5094,886
39.859,56.0308,-1.52343,887
39.8544,56.0425,-1.53686,888
39.85,56.05,-1.55,889
39.85,56.05,-1.55,890
39.8512,55.9926,-1.55005,891
39.8523,55.9351,-1.55011,892
39.8535,55.8763,-1.55019,893
39.8548,55.8151,-1.55031,894
39.8561,55.7506,-1.55046,895
39.8575,55.6818,-1.55063,896
39.8589,55.6081,-1.55083,897
39.8605,55.5288,-1.55104,898
39.8622,55.4433,-1.55126,899
39.8639,55.3513,-1.55149,900
39.8658,55.2523,-1.55171,901
39.8678,55.1462,-1.55189,902
39.87,55.0326,-1.55203,903
39.8722,54.9115,-1.55211,904
39.8746,54.7828,-1.55208,905
39.8771,54.6466,-1.55193,906
39.8798,54.5028,-1.55163,907
39.8827,54.3516,-1.55114,908
39.8858,54.1931,-1.55043,909
39.8892,54.0274,-1.54947,910
39.8928,53.8549,-1.54822,911
39.8969,53.6757,-1.54665,912
39.9013,53.4901,-1.54475,913
39.9063,53.2984,-1.54247,914
39.9119,53.1008,-1.53982,915
39.9181,52.8984,-1.53678,916
39.9252,52.6907,-1.53335,917
39.9332,52.4778,-1.52953,918
39.9422,52.2601,-1.52531,919
39.9523,52.0378,-1.52069,920
39.9636,51.8112,-1.51569,921
39.9764,51.5804,-1.5103,922
39.9906,51.3458,-1.50452,923
40.0064,51.1075,-1.49838,924
40.0239,50.8659,-1.49187,925
40.0433,50.621,-1.48502,926
40.0646,50.3732,-1.47783,927
40.088,50.1227,-1.47032,928
40.1135,49.8696,-1.4625,929
40.1412,49.6143,-1.4544,930
40.1713,49.3569,-1.44604,931
40.2038,49.0976,-1.43744,932
40.2388,48.8366,-1.42861,933
40.2764,48.5742,-1.41959,934
40.3166,48.3106,-1.4104,935
40.3594,48.0458,-1.40105,936
40.4049,47.7802,-1.39159,937
40.4532,47.5139,-1.38203,938
40.5041,47.2471,-1.3724,939
40.5579,46.98,-1.36273,940
40.6143,46.7126,-1.35304,941
40.6734,46.4453,-1.34336,942
40.7353,46.1781,-1.33372,943
40.7998,45.9113,-1.32415,944
40.8668,45.6448,-1.31467,945
40.9365,45.379,-1.3053,946
41.0086,45.1139,-1.29608,947
41.083,44.8495,-1.28702,948
41.1599,44.5862,-1.27816,949
41.2389,44.3238,-1.26951,950
41.3201,44.0626,-1.26109,951
41.4032,43.8027,-1.25293,952
41.4883,43.5441,-1.24504,953
41.5752,43.2868,-1.23746,954
41.6638,43.031,-1.23018,955
41.7539,42.7768,-1.22323,956
41.8455,42.5241,-1.21663,957
41.9383,42.273,-1.21038,958
42.0323,42.0236,-1.2045,959
42.1273,41.7759,-1.19901,960
42.2233,41.5298,-1.19391,961
42.32,41.2856,-1.1892,962
42.4173,41.0431,-1.18491,963
42.5151,40.8023,-1.18103,964
42.6132,40.5633,-1.17756,965
42.7116,40.3262,-1.17452,966
42.8101,40.0907,-1.1719,967
42.9086,39.8571,-1.1697,968
43.007,39.6252,-1.16793,969
43.105,39.3951,-1.16658,970
43.2027,39.1668,-1.16566,971
43.2999,38.9401,-1.16515,972
43.3965,38.7152,-1.16505,973
43.4924,38.492,-1.16536,974
43.5875,38.2704,-1.16608,975
43.6817,38.0506,-1.16719,976
43.7749,37.8323,-1.1687,977
43.867,37.6157,-1.17058,978
43.958,37.4007,-1.17283,979
44.0477,37.1872,-1.17545,980
44.1361,36.9754,-1.17842,981
44.2232,36.765,-1.18173,982
44.3088,36.5562,-1.18538,983
44.3929,36.3489,-1.18935,984
44.4755,36.143,-1.19363,985
44.5564,35.9386,-1.19821,986
44.6358,35.7356,-1.20307,987
44.7134,35.5341,-1.20821,988
44.7894,35.3339,-1.21362,989
44.8635,35.1351,-1.21928,990
44.936,34.9377,-1.22518,991
45.0066,34.7416,-1.23131,992
45.0753,34.5468,-1.23765,993
45.1423,34.3534,-1.2442,994
45.2074,34.1612,-1.25094,995
45.2706,33.9702,-1.25787,996
45.332,33.7805,-1.26497,997
45.3915,33.5921,-1.27222,998
45.4492,33.4048,-1.27963,999
45.5049,33.2187,-1.28717,1000
45.5588,33.0338,-1.29485,1001
45.6109,32.85,-1.30264,1002
45.6611,32.6673,-1.31054,1003
45.7094,32.4857,-1.31854,1004
45.756,32.3052,-1.32663,1005
45.8007,32.1257,-1.3348,1006
45.8436,31.9472,-1.34305,1007
45.8847,31.7698,-1.35136,1008
45.9241,31.5932,-1.35972,1009
45.9617,31.4177,-1.36814,1010
45.9976,31.243,-1.3766,1011
46.0318,31.0692,-1.38509,1012
46.0643,30.8963,-1.39362,1013
46.0951,30.7241,-1.40216,1014
46.1243,30.5528,-1.41072,1015
46.1518,30.3822,-1.41929,1016
46.1778,30.2123,-1.42787,1017
46.2021,30.043,-1.43644,1018
46.2249,29.8744,-1.445,1019
46.2462,29.7064,-1.45355,1020
46.2659,29.539,-1.46208,1021
46.2841,29.3721,-1.47058,1022
46.3008,29.2057,-1.47905,1023
46.3161,29.0397,-1.48748,1024
46.3299,28.874,-1.49587,1025
46.3424,28.7088,-1.50421,1026
46.3534,28.5438,-1.5125,1027
46.363,28.3792,-1.52073,1028
46.3712,28.2147,-1.5289,1029
46.3781,28.0504,-1.537,1030
46.3836,27.8862,-1.54502,1031
46.3879,27.7221,-1.55297,1032
46.3908,27.5581,-1.56083,1033
46.3924,27.394,-1.5686,1034
46.3928,27.2299,-1.57628,1035
46.3919,27.0656,-1.58385,1036
46.3897,26.9012,-1.59132,1037
46.3864,26.7366,-1.59868,1038
46.3818,26.5717,-1.60591,1039
46.376,26.4066,-1.61303,1040
46.369,26.241,-1.62001,1041
46.3608,26.0751,-1.62686,1042
46.3515,25.9087,-1.63357,1043
46.341,25.7418,-1.64013,1044
46.3293,25.5743,-1.64653,1045
46.3166,25.4062,-1.65278,1046
46.3027,25.2375,-1.65885,1047
46.2878,25.0681,-1.66474,1048
46.2717,24.8979,-1.67046,1049
46.2546,24.7269,-1.67598,1050
46.2365,24.5551,-1.6813,1051
46.2173,24.3823,-1.68641,1052
46.1971,24.2086,-1.69131,1053
46.176,24.0339,-1.69598,1054
46.1539,23.8582,-1.70042,1055
46.1308,23.6813,-1.70462,1056
46.1068,23.5033,-1.70856,1057
46.082,23.3242,-1.71225,1058
46.0563,23.1437,-1.71566,1059
46.0298,22.962,-1.71879,1060
46.0025,22.7789,-1.72164,1061
45.9745,22.5945,-1.72418,1062
45.9457,22.4086,-1.72642,1063
45.9163,22.2212,-1.72833,1064
45.8863,22.0324,-1.72991,1065
45.8558,21.8419,-1.73115,1066
45.8247,21.6498,-1.73204,1067
45.7932,21.4561,-1.73257,1068
45.7613,21.2607,-1.73272,1069
45.7291,21.0635,-1.73248,1070
45.6966,20.8645,-1.73186,1071
45.664,20.6637,-1.73082,1072
45.6313,20.461,-1.72937,1073
45.5986,20.2564,-1.7275,1074
45.5659,20.0499,-1.72518,1075
45.5335,19.8414,-1.72242,1076
45.5013,19.6309,-1.71921,1077
45.4695,19.4183,-1.71553,1078
45.4382,19.2036,-1.71137,1079
45.4076,18.9869,-1.70672,1080
45.3776,18.768,-1.70159,1081
45.3485,18.5469,-1.69595,1082
45.3205,18.3237,-1.68981,1083
45.2935,18.0983,-1.68314,1084
45.2678,17.8707,-1.67596,1085
45.2436,17.6409,-1.66824,1086
45.2209,17.4088,-1.65999,1087
45.1999,17.1746,-1.6512,1088
45.1809,16.9382,-1.64186,1089
45.1639,16.6996,-1.63197,1090
45.1491,16.4588,-1.62153,1091
45.1368,16.2159,-1.61053,1092
45.1271,15.9709,-1.59898,1093
45.1201,15.7238,-1.58686,1094
45.1161,15.4747,-1.57419,1095
45.1152,15.2237,-1.56095,1096
45.1177,14.9708,-1.54715,1097
45.1238,14.7161,-1.5328,1098
45.1335,14.4597,-1.51788,1099
45.1472,14.2016,-1.50241,1100
45.165,13.9421,-1.48638,1101
45.187,13.6811,-1.46981,1102
45.2136,13.4189,-1.45269,1103
45.2449,13.1556,-1.43502,1104
45.281,12.8913,-1.41681,1105
45.3221,12.6262,-1.39807,1106
45.3685,12.3605,-1.3788,1107
45.4202,12.0944,-1.359,1108
45.4775,11.828,-1.33869,1109
45.5404,11.5616,-1.31787,1110
45.6093,11.2954,-1.29654,1111
45.684,11.0296,-1.27473,1112
45.7649,10.7645,-1.25242,1113
45.8519,10.5004,-1.22964,1114
45.9453,10.2374,-1.20639,1115
46.045,9.976,-1.18268,1116
46.1512,9.71634,-1.15851,1117
46.2638,9.45875,-1.1339,1118
46.383,9.20354,-1.10885,1119
46.5087,8.95103,-1.08337,1120
46.641,8.70153,-1.05746,1121
46.7798,8.45536,-1.03113,1122
46.925,8.21286,-1.00438,1123
47.0767,7.97435,-0.977215,1124
47.2347,7.74018,-0.949633,1125
47.399,7.5107,-0.921637,1126
47.5693,7.28626,-0.893227,1127
47.7455,7.06722,-0.864402,1128
47.9275,6.85394,-0.835162,1129
48.115,6.64678,-0.805505,1130
48.3078,6.4461,-0.775428,1131
48.5056,6.25226,-0.744928,1132
48.708,6.0656,-0.714003,1133
48.9147,5.88643,-0.682643,1134
49.1254,5.71511,-0.650861,1135
49.3396,5.55195,-0.618692,1136
49.5569,5.39723,-0.586187,1137
49.7768,5.2512,-0.553415,1138
49.9987,5.11407,-0.520462,1139
50.2221,4.986,-0.487429,1140
50.4463,4.8671,-0.454434,1141
50.6708,4.7574,-0.421607,1142
50.8949,4.65689,-0.389089,1143
51.1178,4.56547,-0.357032,1144
51.3389,4.48298,-0.32559,1145
51.5574,4.40917,-0.29485,1146
51.7727,4.34377,-0.264923,1147
51.984,4.28642,-0.235977,1148
52.1906,4.2367,-0.208179,1149
52.3919,4.19416,-0.181687,1150
52.5871,4.15827,-0.156647,1151
52.7757,4.12846,-0.133195,1152
52.9569,4.10415,-0.111444,1153
53.1303,4.08472,-0.0914924,1154
53.2977,4.06957,-0.0734503,1155
53.456,4.05808,-0.0573226,1156
53.6047,4.04967,-0.0430724,1157
53.7433,4.04377,-0.0306333,1158
53.8715,4.0399,-0.019918,1159
53.9888,4.03759,-0.0108236,1160
54.0949,4.03644,-0.00323504,1161
54.1898,4.03611,0.00297271,1162
54.2733,4.03633,0.00793312,1163
54.3455,4.03686,0.0117866,1164
54.4067,4.03752,0.0146788,1165
54.4572,4.0382,0.0167585,1166
54.4975,4.03881,0.0181744,1167
54.5284,4.0393,0.0190716,1168
54.5509,4.03965,0.0195876,1169
54.566,4.03987,0.0198472,1170
54.5751,4.03998,0.0199571,1171
54.58,4.04,0.02,1172
