x,y,z,w
33.3293,17.1834,-0.374092,-1
33.1425,17.2547,-0.354654,-1
32.9542,17.3223,-0.335216,-1
32.7647,17.3862,-0.315778,-1
32.574,17.4465,-0.29634,-1
32.3822,17.503,-0.276902,-1
32.1893,17.5558,-0.257464,-1
31.9954,17.6049,-0.238026,-1
31.8006,17.6502,-0.218588,-1
31.605,17.6916,-0.19915,-1
31.4085,17.7293,-0.179712,-1
31.2114,17.7631,-0.160274,-1
31.0137,17.7931,-0.140836,-1
30.8154,17.8193,-0.121398,-1
30.6167,17.8416,-0.10196,-1
30.4175,17.86,-0.0825218,-1
30.218,17.8745,-0.0630837,-1
30.0183,17.8852,-0.0436457,-1
29.8184,17.892,-0.0242077,-1
29.6185,17.8949,-0.00476965,-1
29.4185,17.8939,0.0146684,-1
29.2185,17.889,0.0341064,-1
29.0187,17.8802,0.0535444,-1
28.8191,17.8676,0.0729825,-1
28.6198,17.8511,0.0924205,-1
28.4209,17.8307,0.111859,-1
28.2224,17.8064,0.131297,-1
28.0243,17.7783,0.150735,-1
27.8269,17.7464,0.170173,-1
27.6301,17.7106,0.189611,-1
27.4341,17.671,0.209049,-1
27.2389,17.6276,0.228487,-1
27.0445,17.5804,0.247925,-1
26.8511,17.5294,0.267363,-1
26.6588,17.4747,0.286801,-1
26.4675,17.4163,0.306239,-1
26.2774,17.3541,0.325677,-1
26.0885,17.2883,0.345115,-1
25.901,17.2188,0.364553,-1
25.7149,17.1457,0.383991,-1
25.5302,17.069,0.403429,-1
25.347,16.9887,0.422867,-1
25.1654,16.9048,0.442305,-1
24.9855,16.8175,0.461743,-1
24.8073,16.7266,0.481181,-1
24.6309,16.6324,0.500619,-1
24.4564,16.5347,0.520057,-1
24.2839,16.4336,0.539495,-1
24.1133,16.3292,0.558933,-1
23.9447,16.2215,0.578371,-1
23.7783,16.1106,0.597809,-1
23.6141,15.9964,0.617247,-1
23.4522,15.8791,0.636685,-1
23.2925,15.7586,0.656123,-1
23.1353,15.635,0.675561,-1
22.9804,15.5085,0.694999,-1
22.8281,15.3789,0.714437,-1
22.6782,15.2464,0.733876,-1
22.531,15.111,0.753314,-1
22.3865,14.9728,0.772752,-1
22.2447,14.8318,0.79219,-1
22.1056,14.6881,0.811628,-1
21.9693,14.5417,0.831066,-1
21.836,14.3926,0.850504,-1
21.7055,14.241,0.869942,-1
21.578,14.0869,0.88938,-1
21.4536,13.9304,0.908818,-1
21.3322,13.7714,0.928256,-1
21.2139,13.6102,0.947694,-1
21.0988,13.4466,0.967132,-1
20.9869,13.2809,0.98657,-1
20.8782,13.113,1.00601,-1
20.7728,12.943,1.02545,-1
20.6707,12.771,1.04488,-1
20.572,12.5971,1.06432,-1
20.4767,12.4213,1.08376,-1
20.3848,12.2436,1.1032,-1
20.2964,12.0642,1.12264,-1
20.2273,11.9176,1.13839,-1
