min_x,max_x,min_y,max_y
19.3933,30.3539,11.2815,22.2421
19.2162,30.1768,11.1885,22.1491
19.041,30.0016,11.0921,22.0527
18.8677,29.8283,10.9923,21.9529
18.6963,29.6569,10.8891,21.8497
18.527,29.4876,10.7826,21.7432
18.3598,29.3204,10.6729,21.6335
18.1947,29.1553,10.5599,21.5205
18.0319,28.9925,10.4437,21.4043
17.8714,28.832,10.3244,21.285
17.7132,28.6738,10.202,21.1626
17.5574,28.518,10.0766,21.0372
17.4041,28.3647,10.2567,20.9087
17.2533,28.2139,10.1253,20.7773
17.1051,28.0657,10.2996,20.643
17.2681,27.9202,10.1624,20.5058
17.1253,27.7773,10.0224,20.3658
17.2937,27.6372,10.1883,20.2231
17.1564,27.4998,10.0428,20.0777
17.022,27.3654,10.2034,19.9296
17.199,27.2338,10.0527,19.779
17.0704,27.1052,10.2081,19.6258
17.2534,26.9796,10.0525,19.4701
17.1308,26.857,10.203,19.3121
17.0113,26.7376,10.0426,19.1517
17.2036,26.6213,10.1885,18.9889
17.0905,26.5081,10.0235,18.824
17.2891,26.3982,10.165,18.6569
17.1825,26.2916,10.3044,18.4877
17.0791,26.1882,10.1331,18.3164
17.2877,26.0882,10.2685,18.1432
17.1911,25.9916,10.0933,17.9681
17.098,25.8985,10.225,17.7911
17.0083,25.8087,10.0462,17.6123
17.2306,25.7225,10.1743,17.4319
17.1633,25.6552,10.0268,17.2844
