min_x,max_x,min_y,max_y
22.4995,33.4601,12.5318,23.4924
22.2975,33.2581,12.4989,23.4595
22.0962,33.0568,12.4622,23.4228
21.8957,32.8563,12.4215,23.3821
21.696,32.6566,12.3769,23.3375
21.4972,32.4578,12.3284,23.289
21.2994,32.26,12.2761,23.2367
21.1026,32.0632,12.22,23.1806
20.907,31.8676,12.16,23.1206
20.7125,31.6731,12.0963,23.0569
20.5194,31.48,12.0288,22.9894
20.3276,31.2882,11.9575,22.9181
20.1372,31.0978,11.8826,22.8432
19.9483,30.9089,11.8039,22.7645
19.7609,30.7215,11.7216,22.6822
19.5752,30.5358,11.6357,22.5962
19.3913,30.3518,11.5461,22.5067
19.209,30.1696,11.453,22.4136
19.0287,29.9892,11.3564,22.317
18.8502,29.8108,11.2563,22.2169
18.6737,29.6343,11.1528,22.1134
18.4993,29.4599,11.0458,22.0064
18.327,29.2875,10.9355,21.8961
18.1568,29.1174,10.8218,21.7824
17.9889,28.9495,10.7049,21.6654
17.8233,28.7839,10.5847,21.5453
17.6601,28.6207,10.4613,21.4219
17.4993,28.4599,10.3347,21.2953
17.3409,28.3015,10.2051,21.1657
17.1852,28.1458,10.0724,21.033
17.032,27.9926,10.2453,20.8973
17.1901,27.8421,10.1067,20.7587
17.0424,27.6944,10.2737,20.6171
17.2059,27.5494,10.1293,20.4727
17.0638,27.4072,10.2907,20.3256
17.2331,27.2679,10.1408,20.1757
17.0968,27.1316,10.2968,20.0231
17.272,26.9983,10.1416,19.8679
17.1417,26.868,10.2924,19.7101
17.0145,26.7408,10.1321,19.5498
17.2223,26.64,10.0004,19.4181
